Account: NYC Alliance for Downtown New York
User: Sarah
Generated On: 03/29/2018
Filters: 
Streams: All
Groups: All
Components: All
Status: All


"Description","Serial","Streams","Model","Capacity","Status","Fullness Threshold","Age Threshold","Last Called","Lat","Lng"
"N/W/C Barclays & Church St","1401735-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.71291879714952","-74.00977285594541"
"N/W/C Barclays St & Greenwich St","2404077","Trash","HC4","High","In Service","60%","Disabled","9 hours ago","40.713863366625255","-74.0119018767212"
"N/W/C Barclays St & Greenwich St","2404077-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.713863366625255","-74.0119018767212"
"N/W/C Battery Pl & Broadway","1401726","Trash","HC4","High","In Service","60%","Disabled","6 hours ago","40.70472099995265","-74.0143073681055"
"N/W/C Battery Pl & Broadway","1401726-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70472099995265","-74.0143073681055"
"N/W/C Battery Pl & Greenwich St","2403930","Trash","HC4","High","In Service","60%","Disabled","6 hours ago","40.70483379991473","-74.01501522209014"
"N/W/C Battery Pl & Greenwich St","2403930-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70483379991473","-74.01501522209014"
"N/W/C Battery Pl & Washington St","2403969","Trash","HC4","High","In Service","60%","Disabled","4 hours ago","40.70497966618136","-74.01573267965392"
"N/W/C Battery Pl & Washington St","2403969-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70497966618136","-74.01573267965392"
"N/W/C Beaver St & William St.","1401741","Trash","HC4","High","In Service","60%","Disabled","6 hours ago","40.70521189959318","-74.0101068951065"
"N/W/C Beaver St & William St.","1401741-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70521189959318","-74.0101068951065"
"N/W/C Beekman st & Nassau st","2403995","Trash","HC4","High","In Service","60%","Disabled","3 hours ago","40.71125509637039","-74.00651210000001"
"N/W/C Beekman st & Nassau st","2403995-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.71125509637039","-74.00651210000001"
"N/W/C Broadway  & Bowling Green","2404071","Trash","HC4","High","In Service","60%","Disabled","3 hours ago","40.70460859999677","-74.01331520230792"
"N/W/C Broadway  & Bowling Green","2404071-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70460859999677","-74.01331520230792"
"N/W/C Broadway & Dey St","1511590","Trash","HC5","High","In Service","60%","Disabled","an hour ago","40.710514","-74.009461"
"N/W/C Broadway & Dey St","1511590-left","Bottles/Cans","SCC5","Standard","In Service","80%","Disabled","","40.710514","-74.009461"
"N/W/C Broadway & Fulton St","2403818","Trash","HC4","High","In Service","60%","Disabled","10 hours ago","40.71095529768785","-74.00908675828384"
"N/W/C Broadway & Fulton St","2403818-left","Paper","SCC4","Standard","In Service","80%","Disabled","","40.71095529768785","-74.00908675828384"
"N/W/C Church St & Park Pl","2403821","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.71342354539191","-74.00929911534422"
"N/W/C Church St & Park Pl","2403821-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.71342354539191","-74.00929911534422"
"N/W/C Cortlandt St & Broadway","2404064","Trash","HC4","High","In Service","60%","Disabled","3 hours ago","40.70987498830696","-74.01000059439065"
"N/W/C Cortlandt St & Broadway","2404064-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70987498830696","-74.01000059439065"
"N/W/C Fulton St & Cliff St","2403983","Trash","HC4","High","In Service","60%","Disabled","an hour ago","40.70843856435492","-74.00478921779097"
"N/W/C Fulton St & Cliff St","2403983-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70843856435492","-74.00478921779097"
"N/W/C Gold St & Fulton St","1401733","Trash","HC4","High","In Service","60%","Disabled","6 hours ago","40.70919525701521","-74.00550213359071"
"N/W/C Gold St & Fulton St","1401733-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70919525701521","-74.00550213359071"
"N/W/C Greenwich St & Rector St","2403972","Trash","HC4","High","In Service","60%","Disabled","11 hours ago","40.70807024501791","-74.01365128545837"
"N/W/C Greenwich St & Rector St","2403972-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70807024501791","-74.01365128545837"
"N/W/C John St  & Water St","1401729","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.706933097511474","-74.0049763423279"
"N/W/C John St  & Water St","1401729-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.706933097511474","-74.0049763423279"
"N/W/C John St & Cliff St","2403984","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.707950247437076","-74.00599683680537"
"N/W/C John St & Cliff St","2403984-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.707950247437076","-74.00599683680537"
"N/W/C John St & Nassau St","2404053","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.709576128684034","-74.00846362209018"
"N/W/C John St & Nassau St","2404053-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.709576128684034","-74.00846362209018"
"N/W/C John St & Pearl St","2403989","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.707418198227565","-74.0054733"
"N/W/C John St & Pearl St","2403989-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.707418198227565","-74.0054733"
"N/W/C John St & William St","2403992","Trash","HC4","High","In Service","60%","Disabled","41 minutes ago","40.708715414000814","-74.00732052209014"
"N/W/C John St & William St","2403992-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.708715414000814","-74.00732052209014"
